10000; 0.000
20000; 0.002
30000; 0.003
40000; 0.003
50000; 0.004
60000; 0.005
70000; 0.006
80000; 0.006
90000; 0.008
100000; 0.008
10000; 0.001
20000; 0.002
30000; 0.002
40000; 0.003
50000; 0.004
60000; 0.007
70000; 0.008
80000; 0.007
90000; 0.007
100000; 0.009
