10000; 408951
10000; 408895
10000; 409163
10000; 408724
10000; 408785
20000; 886353
30000; 1397505
40000; 1911629
50000; 2443945
60000; 2992451
70000; 3567703
80000; 4083594
90000; 4684728
100000; 5208960
